번호,낚시터명,낚시터유형,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,낚시터전화번호,수면적,주요어종,최대수용인원,수상시설물유형,이용요금,주요포인트,안전시설현황,편익시설현황,주변관광지,관리기관전화번호,관리기관명,데이터기준일자
3,능애 낚시터,저수지,,충청남도 공주시 정안면 평정리 529-1(평정저수지),36.55407334,127.083822,041-854-3664,6.6,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
4,월곡 낚시터,저수지,,충청남도 공주시 의당면 월곡리 4-3(월곡저수지),36.53973952,127.162541,041-852-0191,5,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
5,경천 낚시터,저수지,,충청남도 공주시 계룡면 양화리(경천저수지),36.3339378,127.1718409,041-855-0921,46.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
6,행복 낚시터,저수지,,충청남도 공주시 의당면 두만리 28(요룡저수지),36.54898473,127.1448196,041-854-9506,14.5,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
7,우목 낚시터,저수지,,충청남도 공주시 우성면 용봉리 700(우목저수지),36.4405707,127.009396,041-855-4818,25,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
8,중흥 낚시터,저수지,,충청남도 공주시 의당면 도신리 487(중흥저수지),36.57675859,127.1725335,000-000-0000,13.8,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
9,고성 낚시터,저수지,,충청남도 공주시 정안면 고성리(고성저수지),36.58824678,127.0916593,041-858-4600,23,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2019-09-25
10,명곡 낚시터,저수지,,충청남도 공주시 유구읍 명곡리 436-3(명곡저수지),36.59894926,126.9385268,041-841-6929,21.4,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-840-8873,공주시,2019-09-25
11,큰목길낚시터,저수지,,충청남도 공주시 공주시 옥룡동 상왕통286,36.47066341,127.0771193,041-858-6900,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25
12,자연농원,저수지,,충청남도 공주시 공주시 정안면 광정리200-5,36.47066341,127.0771193,041-858-1438,2.2,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25
13,우성낚시터,저수지,,충청남도 공주시 공주시 우성면 상서리114-2,36.47066341,127.0771193,041-853-8400,0.5,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25
14,훼미리낚시터,저수지,,충청남도 공주시 공주시 상왕동 779-7,36.47066341,127.0771193,000-000-0000,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25
15,그린 낚시터,저수지,,충청남도 공주시 계룡면 중장리 101,36.37153325,127.1686461,041-857-5244,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2019-09-25
16,그린 낚시터,저수지,,충청남도 공주시 계룡면 중장리 101,36.37153325,127.1686461,041-857-5244,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2020-12-22
17,훼미리낚시터,저수지,,충청남도 공주시 공주시 상왕동 779-7,36.47066341,127.0771193,000-000-0000,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2020-12-22
18,우성낚시터,저수지,,충청남도 공주시 공주시 우성면 상서리114-2,36.47066341,127.0771193,041-853-8400,0.5,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2020-12-22
19,자연농원,저수지,,충청남도 공주시 공주시 정안면 광정리200-5,36.47066341,127.0771193,041-858-1438,2.2,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2020-12-22
20,큰목길낚시터,저수지,,충청남도 공주시 공주시 옥룡동 상왕통286,36.47066341,127.0771193,041-858-6900,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2020-12-22
21,명곡 낚시터,저수지,,충청남도 공주시 유구읍 명곡리 436-3(명곡저수지),36.59894926,126.9385268,041-841-6929,21.4,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-840-8873,공주시,2020-12-22
22,고성 낚시터,저수지,,충청남도 공주시 정안면 고성리(고성저수지),36.58824678,127.0916593,041-858-4600,23,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2020-12-22
23,중흥 낚시터,저수지,,충청남도 공주시 의당면 도신리 487(중흥저수지),36.57675859,127.1725335,000-000-0000,13.8,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2020-12-22
24,우목 낚시터,저수지,,충청남도 공주시 우성면 용봉리 700(우목저수지),36.4405707,127.009396,041-855-4818,25,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2020-12-22
25,행복 낚시터,저수지,,충청남도 공주시 의당면 두만리 28(요룡저수지),36.54898473,127.1448196,041-854-9506,14.5,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2020-12-22
26,경천 낚시터,저수지,,충청남도 공주시 계룡면 양화리(경천저수지),36.3339378,127.1718409,041-855-0921,46.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2020-12-22
27,월곡 낚시터,저수지,,충청남도 공주시 의당면 월곡리 4-3(월곡저수지),36.53973952,127.162541,041-852-0191,5,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2020-12-22
28,능애 낚시터,저수지,,충청남도 공주시 정안면 평정리 529-1(평정저수지),36.55407334,127.083822,041-854-3664,6.6,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2020-12-22
29,정안 낚시터,저수지,,충청남도 공주시 정안면 운궁리 327-4,36.5804523,127.110813,041-855-5755,0.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-840-8873,공주시,2020-12-22
30,계룡 낚시터,저수지,,충청남도 공주시 계룡면 하대리 485-1(계룡저수지),36.36086703,127.1576725,041-857-8104,67.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2020-12-22
31,계룡 낚시터,저수지,,충청남도 공주시 계룡면 하대리 485-1(계룡저수지),36.36086703,127.1576725,041-857-8104,67.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
32,월선 낚시터,저수지,충남 아산시 영인면 아산로1233번길 54,,36.873699,126.931875,,10120,"붕어,잉어,향어 등",80,고정형,20000,,"구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,아산시,2024-03-12
33,신왕지낚시터,저수지,충남 아산시 둔포면 이화동길115번길 50,,36.9142133,127.0875782,,12356.8,"붕어,잉어,향어 등",234,고정형,30000,"194명수용, 잔교형좌대(1), 신왕소류지","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,아산시,2024-05-21
34,오목낚시터(신창낚시터),저수지,충남 아산시 신창면 서부남로675번길 48,,36.7955718,126.933069,,29.3,"붕어,잉어,향어 등",84,고정형+부유형,20000,"수상방갈로(10조), 연안방갈로(2/펜션형8m, 원룸형50m), 잔교형좌대(1/120m)","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
35,송악 낚시터,저수지,충남 아산시 송악면 송악로 560,,36.7214327,126.9898213,,90,"붕어,잉어,향어 등",179,고정형+부유형,10000,"수상방갈로(18조), 잔교형좌대(1/70m), 선착장 1개소, 송악저수지","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
36,산들 낚시터,저수지,충남 아산시 배방읍 고불로 229,,36.725676,127.0596219,,7.2,"붕어,잉어,향어 등",84,고정형+부유형,20000,"수상방갈로(8조), 연안방갈로(1/10m), 잔교형좌대(1/50m),수철저수지","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
37,냉정 낚시터,저수지,충남 아산시 인주면 서해로548번길 158,,36.868245,126.904669,,24.8,"붕어,잉어,향어 등",114,고정형+부유형,15000,"수상방갈로(1), 연안방갈로(10),  잔교형좌대(1/150m), 냉정저수지","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
38,월랑 낚시터,저수지,충남 아산시 음봉면 월랑길 15-10,,36.8436697,127.0804385,,20.9,"붕어,잉어,향어 등",65,고정형+부유형,20000,"수상방갈로(5), 연안방갈로(8m), 잔교형좌대(1/80m), 선착장(1),월랑저수지","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
39,대동 낚시터,저수지,충남 아산시 음봉면 송촌리 34,,36.84784,127.046914,,11,"붕어,잉어,향어 등",116,고정형+부유형,20000,"수상방갈로(17), 연안방갈로(1,30m), 잔교형좌대(1/100m),동암저수지","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
40,신수 낚시터,저수지,충남 아산시 음봉면 신수리 51-1,,36.843918,126.99831,,2.9,"붕어,잉어,향어 등",67,고정형+부유형,20000,"수상방갈로(7), 잔교형좌대(2), 연안방갈로(1)","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
41,염치 낚시터,저수지,충남 아산시 염치읍 동정길 159-4,,36.821763,126.993657,,80.3,"붕어,잉어,향어 등",87,고정형+부유형,15000,"수상방갈로(10), 잔교형좌대(1/140m), 선착장(1) 총무:010-2026-3492","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
42,신휴 낚시터,저수지,충남 아산시 음봉면 신휴길122,,36.8910242,127.0704905,,52,"붕어,잉어,향어 등",55,고정형+부유형,20000,"수상방갈로(10), 선착장(1), 신휴 저수지","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
43,봉재 낚시터,저수지,충남 아산시 둔포면 충무로 1258-32,,36.883092,127.032207,,45.2,"붕어,잉어,향어 등",325,고정형+부유형,25000,"수상방갈로(31조), 연안방갈로(4), 잔교형좌대(12/90m), 선착장(1)","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
44,안골 낚시터,저수지,충남 아산시 영인면 고룡산로 448,,36.8789658,126.9878422,,41,"붕어,잉어,향어 등",113,고정형+부유형,20000,"수상방갈로(23조), 잔교형좌대(1/60m), 선착장(1)","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
45,죽산 낚시터,저수지,충남 아산시 선장면 서부남로 344,,36.7857711,126.8978959,,22.8,"붕어,잉어,향어 등",96,고정형+부유형,20000,"수상방갈로(29), 연안방갈로(1), 선착장(1), 잔교형좌대(3/140m)","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
46,영인 낚시터,저수지,충남 아산시 영인면 영인로 159-20,,36.8627459,126.9487696,,33.8,"붕어,잉어,향어 등",168,고정형+부유형,20000,"수상방갈로(20), 잔교형좌대(1/90m), 선착장(1), 상성저수지","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
47,잔실 낚시터,저수지,충남 아산시 음봉면 신정리 397,,36.8735582,127.0167286,,5.5,"붕어,잉어,향어 등",50,고정형,10000,신정저수지,"구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,"아산시, 한국농어촌공사",2024-01-15
48,삽교천 낚시터,기타,충남 아산시 인주면 아산만로1363,,36.8526333,126.8545664,,1979.49,"붕어,잉어,향어 등",120,고정형,10000,,"구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,아산시,2024-07-09
49,동암 낚시터,기타,충남 아산시 음봉면 음봉로447번길 50,,36.8469204,127.0604064,,967,"붕어,잉어,향어 등",50,고정형,10000,"잔교형좌대(1), 사유수면","구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,아산시,2024-05-29
50,낭만물고기실내낚시카페,기타,"충남 아산시 배방읍 배방로13번길 23, 2층",,36.775944,127.056904,,0.01,"메기,잉어,향어 등",40,고정형,10000,폐업,"구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,아산시,2021-12-31
51,아산락실내바다낚시터,기타,충남 아산시 염치읍 백암길 148-1,,36.8058557,127.0359602,,0.01,"참돔,활점농어,바닷가재 등",30,고정형,40000,,"구명부환,소화기,구급약품 등","화장실,세면소,휴지통 등",,,아산시,2021-12-31
52,서부낚시터,저수지,충청남도 서천군 종천면 대백제로 1458,,36.12103723,126.692348,,840000,붕어,36,고정형,1일 60000원,,구명부환+구명조끼+소화기+사다리+휴대용손전등,화장실+쓰레기통,,,충청남도 서천군청,2023-12-08
53,배다리낚시터,저수지,충청남도 서천군 서면 주원로 10-3,,36.15600648,126.572178,,293000,붕어,28,고정형,1일 60000원,,구명부환+구명조끼+소화기+사다리+휴대용손전등,화장실+쓰레기통,,,충청남도 서천군청,2023-12-08
54,창리해상낚시터,바다,충청남도 서산시 부석면 창리 지선,,36.369181,126.224581,,1278,조피볼락+숭어,110,고정형,"50,000원",낚시터 좌대 6동,구명부환+소화기+구급약품+구명조끼,화장실+쓰레기통,간월암,041-660-2413,서산시 해양수산과,2023-12-15
55,덕송지낚시터,저수지,충청남도 서산시 팔봉면 덕송리 842-5,,36.835062,126.339584,,12004,붕어+잉어,108,고정형,"110,000원",수상좌대 12동,구명부환+소화기+구급약품+구명조끼,화장실+쓰레기통,팔봉산,041-660-2413,서산시 해양수산과,2023-12-15
56,대요낚시터,저수지,충청남도 서산시 지곡면 대요리 713,,36.886992,126.428141,,146888,붕어+잉어,90,고정형,"60,000원",수상좌대 10동,구명부환+소화기+구급약품+구명조끼,화장실+쓰레기통,삼길포항,041-660-2413,서산시 해양수산과,2023-12-15
57,계룡 낚시터,저수지,,충청남도 공주시 계룡면 하대리 485-1(계룡저수지),36.36086703,127.1576725,041-857-8104,67.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
58,정안 낚시터,저수지,,충청남도 공주시 정안면 운궁리 327-4,36.5804523,127.110813,041-855-5755,0.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-840-8873,공주시,2021-10-22
59,능애 낚시터,저수지,,충청남도 공주시 정안면 평정리 529-1(평정저수지),36.55407334,127.083822,041-854-3664,6.6,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
60,월곡 낚시터,저수지,,충청남도 공주시 의당면 월곡리 4-3(월곡저수지),36.53973952,127.162541,041-852-0191,5,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
61,경천 낚시터,저수지,,충청남도 공주시 계룡면 양화리(경천저수지),36.3339378,127.1718409,041-855-0921,46.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
62,행복 낚시터,저수지,,충청남도 공주시 의당면 두만리 28(요룡저수지),36.54898473,127.1448196,041-854-9506,14.5,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
63,우목 낚시터,저수지,,충청남도 공주시 우성면 용봉리 700(우목저수지),36.4405707,127.009396,041-855-4818,25,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
64,중흥 낚시터,저수지,,충청남도 공주시 의당면 도신리 487(중흥저수지),36.57675859,127.1725335,000-000-0000,13.8,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
65,고성 낚시터,저수지,,충청남도 공주시 정안면 고성리(고성저수지),36.58824678,127.0916593,041-858-4600,23,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
66,명곡 낚시터,저수지,,충청남도 공주시 유구읍 명곡리 436-3(명곡저수지),36.59894926,126.9385268,041-841-6929,21.4,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-840-8873,공주시,2021-10-22
67,큰목길낚시터,저수지,,충청남도 공주시 공주시 옥룡동 상왕통286,36.47066341,127.0771193,041-858-6900,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2021-10-22
68,자연농원,저수지,,충청남도 공주시 공주시 정안면 광정리200-5,36.47066341,127.0771193,041-858-1438,2.2,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2021-10-22
69,우성낚시터,저수지,,충청남도 공주시 공주시 우성면 상서리114-2,36.47066341,127.0771193,041-853-8400,0.5,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2021-10-22
70,훼미리낚시터,저수지,,충청남도 공주시 공주시 상왕동 779-7,36.47066341,127.0771193,000-000-0000,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2021-10-22
71,그린 낚시터,저수지,,충청남도 공주시 계룡면 중장리 101,36.37153325,127.1686461,041-857-5244,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2021-10-22
72,그린 낚시터,저수지,,충청남도 공주시 계룡면 중장리 101,36.37153325,127.1686461,041-857-5244,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2021-10-22
73,훼미리낚시터,저수지,,충청남도 공주시 공주시 상왕동 779-7,36.47066341,127.0771193,000-000-0000,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2021-10-22
74,우성낚시터,저수지,,충청남도 공주시 공주시 우성면 상서리114-2,36.47066341,127.0771193,041-853-8400,0.5,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2021-10-22
75,자연농원,저수지,,충청남도 공주시 공주시 정안면 광정리200-5,36.47066341,127.0771193,041-858-1438,2.2,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2021-10-22
76,큰목길낚시터,저수지,,충청남도 공주시 공주시 옥룡동 상왕통286,36.47066341,127.0771193,041-858-6900,0.3,"붕어, 잉어",20,고정형,25000,,"구명부환, 소화기 등",화장실,,,개인,2021-10-22
77,명곡 낚시터,저수지,,충청남도 공주시 유구읍 명곡리 436-3(명곡저수지),36.59894926,126.9385268,041-841-6929,21.4,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-840-8873,공주시,2021-10-22
78,고성 낚시터,저수지,,충청남도 공주시 정안면 고성리(고성저수지),36.58824678,127.0916593,041-858-4600,23,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
79,중흥 낚시터,저수지,,충청남도 공주시 의당면 도신리 487(중흥저수지),36.57675859,127.1725335,000-000-0000,13.8,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
80,우목 낚시터,저수지,,충청남도 공주시 우성면 용봉리 700(우목저수지),36.4405707,127.009396,041-855-4818,25,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
81,행복 낚시터,저수지,,충청남도 공주시 의당면 두만리 28(요룡저수지),36.54898473,127.1448196,041-854-9506,14.5,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
82,경천 낚시터,저수지,,충청남도 공주시 계룡면 양화리(경천저수지),36.3339378,127.1718409,041-855-0921,46.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
83,월곡 낚시터,저수지,,충청남도 공주시 의당면 월곡리 4-3(월곡저수지),36.53973952,127.162541,041-852-0191,5,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
84,능애 낚시터,저수지,,충청남도 공주시 정안면 평정리 529-1(평정저수지),36.55407334,127.083822,041-854-3664,6.6,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-850-6400,한국농어촌공사,2021-10-22
85,정안 낚시터,저수지,,충청남도 공주시 정안면 운궁리 327-4,36.5804523,127.110813,041-855-5755,0.3,"붕어, 잉어",20,고정형,20000,,"구명부환, 소화기 등",화장실,,041-840-8873,공주시,2021-10-22
86,수신낚시터,저수지,"충청남도 천안시 동남구 수신면 발산1길 147-106, 수신낚시터",충청남도 천안시 동남구 수신면 발산리 449-2 수신낚시터,36.71158316,127.2940376,041-557-0503,18000,붕어+잉어,60,고정형,"1일 30,000원",,소화기+구명조끼+구명줄+구명부환+구급약품+전기설비,화장실+세면소+쓰레기통,,,천안시청,2024-07-18
87,마정낚시터,저수지,충청남도 천안시 서북구 직산읍 금곡로 176,충청남도 천안시 서북구 직산읍 마정리 314,36.87443248,127.0999291,,180900,붕어+잉어,200,고정형,"1일 25,000원",,소화기+구명조끼+구명줄+구명부환+구급약품+전기설비,화장실+세면소+쓰레기통,,,천안시청,2024-07-18
88,남창낚시터,저수지,"충청남도 천안시 서북구 성거읍 보명사길 62, 남창낚시터",충청남도 천안시 서북구 성거읍 송남리 산 46,36.86121783,127.1990668,041-622-4569,35000,붕어+잉어,130,고정형,"1일 30,000원",,소화기+구명조끼+구명줄+구명부환+구급약품+전기설비,화장실+세면소+쓰레기통,,,천안시청,2024-07-18
89,무네미낚시터,저수지,충청남도 천안시 동남구 동면 장송죽계길 40,충청남도 천안시 동남구 동면 송연리42,36.78076246,127.3704271,,4018,붕어+잉어,90,고정형,"1일 30,000원",,소화기+구명조끼+구명줄+구명부환+구급약품+전기설비,화장실+세면소+쓰레기통,,,천안시청,2024-07-18
90,부대낚시터,저수지,"충청남도 천안시 서북구 안터길 38-29, 부대동낚시터 (부대동)",충청남도 천안시 서북구 부대동 35-4 부대동낚시터,36.84090025,127.1590725,041-563-1866,9600,"붕어,잉어,향어,메기",50,고정형,"1일 20,000원",,소화기+구명조끼+구명줄+구명부환+구급약품+전기설비,화장실+세면소+쓰레기통,,,천안시청,2024-07-18
91,신월낚시터,저수지,"충청남도 천안시 서북구 성거읍 신월길 165-29, 신월낚시터",충청남도 천안시 서북구 성거읍 소우리 265-2,36.86809119,127.1646074,,81400,붕어+잉어,86,고정형,"1일 20,000원",,소화기+구명조끼+구명줄+구명부환+구급약품+전기설비,화장실+세면소+쓰레기통,,,천안시청,2024-07-18
92,석곡낚시터,저수지,"충청남도 천안시 서북구 직산읍 부송로 43-38, 석곡낚시터",충청남도 천안시 서북구 직산읍 석곡리 5-4 석곡낚시터,36.89071113,127.1028245,,56900,붕어+잉어,100,고정형,"1일 20,000원",,소화기+구명조끼+구명줄+구명부환+구급약품+전기설비,화장실+세면소+쓰레기통,,,천안시청,2024-07-18
93,덕성낚시터,저수지,충청남도 천안시 동남구 동면 덕성1길 52,충청남도 천안시 동남구 동면 덕성리 428-1,36.80984881,127.3697076,041-553-1909,25600,붕어+잉어,100,고정형,"1일 15,000원",,소화기+구명조끼+구명줄+구명부환+구급약품+전기설비,화장실+세면소+쓰레기통,,,천안시청,2024-07-18
94,방축낚시터,저수지,충청남도 천안시 서북구 직산읍 군동3길 26,충청남도 천안시 서북구 직산읍 군동리 187-11,36.89959299,127.1693812,,11000,붕어+잉어,50,고정형,"평일 10,000원 주말 15,000원",,소화기+구명조끼+구명줄+구명부환+구급약품+전기설비,화장실+세면소+쓰레기통,,,천안시청,2024-07-18
95,원산도 선촌 해양낚시터,바다,충청남도 보령시 원산도리 540지선,충청남도 보령시 원산도리 540지선,36.385009,126.42969,,792,"조피볼락, 주꾸미",100,수상좌대,"1일 25,000원",,"구명부환, 구명조끼, 소화기, 구급약품, 안전사다리","화장실, 쓰레기통",원산도해수욕장,041-930-6773,충청남도 보령시청,2024-07-18
96,숲속애바다실내낚시터,기타,충청남도 보령시 통나무1길 80,충청남도 보령시 신흑동 558-35,36.329072,126.52855,041-931-1502,453.06,"돔류, 민어류, 농어류",50,실내낚시터,"4시간 49,000원",,"구명부환, 구명줄, 소화기, 구급약품, 안전사다리","화장실, 쓰레기통, 관리 사무실, 휴게실, 창고",대천항,041-930-6773,충청남도 보령시청,2024-07-18
97,강남호,바다,충청남도 태안군 고남면 안면대로 4439,충청남도 태안군 고남면 안면대로 4439,36.408243,126.419369,,51,우럭,11,부유형,100000,,구명부환+소화기,화장실,,041-670-2415,충청남도 태안군,2023-03-30
98,경남수산,바다,충청남도 태안군 고남면 탄개길 33,충청남도 태안군 고남면 탄개길 33,36.40810295,126.422973,,242,우럭,51,부유형,100000,,구명부환+소화기,화장실,,041-670-2415,충청남도 태안군,2023-03-30
99,영목수산좌대,바다,충청남도 태안군 고남면 월고지길 53,충청남도 태안군 고남면 월고지길 53,36.399587,126.4265487,,125,우럭,49,부유형,100000,,구명부환+소화기,화장실,,041-670-2415,충청남도 태안군,2023-03-30
100,안면도영목항,바다,충청남도 태안군 고남면 안면대로 4558,충청남도 태안군 고남면 안면대로 4558,36.400055,126.426424,,81,우럭,19,부유형,100000,,구명부환+소화기,화장실,,041-670-2415,충청남도 태안군,2023-03-30
101,대일,바다,충청남도 태안군 고남면 고남리 125,충청남도 태안군 고남면 고남리 125,36.407639,126.42209,,128,우럭,13,부유형,100000,,구명부환+소화기,화장실,,041-670-2415,충청남도 태안군,2023-03-30
102,미조리,바다,충청남도 태안군 고남면 월고지길 49-7,충청남도 태안군 고남면 월고지길 49-7,36.39971346,126.4263766,,169,우럭,135,부유형,100000,,구명부환+소화기,화장실,,041-670-2415,충청남도 태안군,2023-03-30
103,대박,바다,충청남도 태안군 고남면 안면대로 4407-239,충청남도 태안군 고남면 안면대로 4407-239,36.4182042,126.428521,,36,우럭,13,부유형,100000,,구명부환+소화기,화장실,,041-670-2415,충청남도 태안군,2023-03-30
104,천우수산,바다,충청남도 태안군 안면읍 대야로 304-41,충청남도 태안군 안면읍 대야로 304-41,36.46427427,126.4163916,,77,우럭,16,부유형,100000,,구명부환+소화기,화장실,,041-670-2415,충청남도 태안군,2023-03-30
105,여정수산,바다,충청남도 태안군 안면읍 응지마을길 20-7,충청남도 태안군 안면읍 응지마을길 20-7,36.51758799,126.345242,,221,우럭,48,부유형,100000,,구명부환+소화기,화장실,,041-670-2415,충청남도 태안군,2023-03-30
106,어성,바다,충청남도 태안군 안면읍 대야로 323-7,충청남도 태안군 안면읍 대야로 323-7,36.4654124,126.414806,,105,우럭,22,부유형,100000,,구명부환+소화기,화장실,,041-670-2415,충청남도 태안군,2023-03-30
